City,Country,Cloudiness,Humidity,Lat,Lon,Temperature,Wind Speed
Tasiilaq,GL,84,89,65.6145,-37.6368,33.8,3.36
Klaksvik,FO,95,100,62.2266,-6.5891,48.2,5.82
Port Alfred,ZA,92,74,-33.5906,26.891,66.99,5.99
Albany,US,75,54,42.6512,-73.755,71.8,18.34
Piacabucu,BR,91,82,-10.4056,-36.4345,79.29,6.82
Saint George,GR,75,87,39.4548,22.34,57.2,2.91
Jamestown,AU,0,46,-33.2075,138.6035,60.75,10.78
Darhan,MN,23,34,49.4867,105.9228,47.43,2.46
Hilo,US,20,48,19.7072,-155.0817,79.38,11.41
Victoria,BN,75,83,5.2785,115.2423,79.43,3.36
Castro,CL,90,100,-42.4824,-73.7644,41,5.82
Juneau,US,75,42,58.3019,-134.4198,61.68,9.17
Kaitangata,NZ,92,61,-46.2818,169.8464,55,10
Ojinaga,US,1,9,29.56,-104.4088,94.69,4.7
Antalaha,MG,57,97,-14.902,50.2794,63.27,3.2
Sitka,US,32,48,37.175,-99.6516,69.01,5.01
Kapaa,US,75,70,22.0752,-159.319,80.92,12.75
Mahebourg,MU,75,94,-20.4081,57.7,75.09,10.29
Srednekolymsk,RU,100,58,67.4555,153.7071,22.05,16.93
Bluff,AU,0,56,-23.58,149.0661,72.09,14.81
Ust-Ordynskiy,RU,0,41,52.805,104.7508,42.8,8.95
Puerto Ayora,EC,75,83,-0.7394,-90.3518,77.4,17.22
Alamos,AR,63,44,-36.9004,-62.3632,53.01,1.68
Beloha,MG,82,89,-25.1739,45.0615,69.39,9.08
Ushuaia,AR,75,69,-54.807,-68.3074,37.4,9.31
Khatanga,RU,55,94,71.9801,102.4743,15.39,15.37
Saldanha,PT,99,68,41.4184,-6.5524,47.79,3.8
Iralaya,HN,75,70,15,-83.2334,86,4.7
Araouane,ML,50,24,18.9041,-3.5276,90.81,12.73
Umea,SE,0,81,63.8284,20.2597,53.6,2.24
Ribeira Grande,PT,75,88,38.5167,-28.7001,64.4,11.41
Makat,KZ,17,43,47.6469,53.3463,61.83,4.7
Bereda,ES,0,87,43.2686,-7.5406,45.68,1.12
Rikitea,PF,73,74,-23.1203,-134.9692,76.77,10.74
Punta Arenas,CL,75,75,-53.1627,-70.9081,41,26.4
